symbol,shortName,exchange,bucket,marketCap,sector_name,industry_name
GOOGL,Alphabet Inc.,NMS,large,4333065732096.0,Communication Services,Internet Content & Information
TSM,Taiwan Semiconductor Manufactur,NYQ,large,2178526609408.0,Technology,Semiconductors
BRK-B,Berkshire Hathaway Inc. New,NYQ,large,1125446320128.0,Financial Services,Insurance - Diversified
SKHY,SK hynix Inc.,NMS,large,978960908288.0,Technology,Semiconductors
ASML,ASML Holding N.V. - New York Re,NMS,large,668714270720.0,Technology,Semiconductor Equipment & Materials
ASMLF,ASML Holding N.V.,PNK,large,661036072960.0,Technology,Semiconductor Equipment & Materials
TCTZF,Tencent Holding Ltd.,PNK,large,560531439616.0,Communication Services,Internet Content & Information
TCEHY,Tencent Holding Ltd.,PNK,large,557380861952.0,Communication Services,Internet Content & Information
IDCBF,Industrial and Commercial Bank ,PNK,large,438367092736.0,Financial Services,Banks - Diversified
DOGEF,Orsted A/S,PNK,large,433136041984.0,Utilities,Utilities - Renewable
SSNLF,SAMSUNG ELECTRONICS CO,PNK,large,428205604864.0,Technology,Consumer Electronics
IDCBY,Industrial and Commercial Bank ,PNK,large,424416739328.0,Financial Services,Banks - Diversified
CYATY,CONTEMPORARY AMPEREX TECHNOLOGY,PNK,large,373093433344.0,Industrials,Electrical Equipment & Parts
RHHVF,Roche Holding Ltd,OQX,large,367070052352.0,Healthcare,Drug Manufacturers - General
RHHBY,Roche Holding Ltd,OQX,large,364982501376.0,Healthcare,Drug Manufacturers - General
HSBC,"HSBC Holdings, plc.",NYQ,large,355747495936.0,Financial Services,Banks - Diversified
RHHBF,Roche Holding Ltd,OQX,large,352449396736.0,Healthcare,Drug Manufacturers - General
HBCYF,HSBC Holdings Plc,PNK,large,351529140224.0,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,PNK,large,310596468736.0,Consumer Cyclical,Internet Retail
CGXYY,China Galaxy Securities Co Ltd.,PNK,large,302554906624.0,Financial Services,Financial Conglomerates
CICHF,China Construction Bank Corp.,PNK,large,300840419328.0,Financial Services,Banks - Diversified
NVS,Novartis AG,NYQ,large,297138749440.0,Healthcare,Drug Manufacturers - General
PCCYF,"PetroChina Co., Ltd.",PNK,large,295639678976.0,Energy,Oil & Gas Integrated
CICHY,China Construction Bank Corp.,PNK,large,293908021248.0,Financial Services,Banks - Diversified
RY,Royal Bank Of Canada,NYQ,large,293329928192.0,Financial Services,Banks - Diversified
NVSEF,Novartis AG,PNK,large,288756596736.0,Healthcare,Drug Manufacturers - General
LVMUY,LVMH-Moet Hennessy Louis Vuitto,PNK,large,274064556032.0,Consumer Cyclical,Luxury Goods
LVMHF,LVMH-Moet Hennessy Louis Vuitto,PNK,large,274049777664.0,Consumer Cyclical,Luxury Goods
ACGBF,AGRICULTURAL BANK OF CHINA,PNK,large,269486931968.0,Financial Services,Banks - Diversified
ACGBY,Agricultural Bank of China,PNK,large,261367332864.0,Financial Services,Banks - Diversified
NSRGY,Nestle S.A.,OID,large,258276605952.0,Consumer Defensive,Packaged Foods
NSRGF,Nestle S.A.,OID,large,253620879360.0,Consumer Defensive,Packaged Foods
MUFG,"Mitsubishi UFJ Financial Group,",NYQ,large,253616865280.0,Financial Services,Banks - Diversified
AZN,AstraZeneca PLC,NYQ,large,250343997440.0,Healthcare,Drug Manufacturers - General
SIEGY,Siemens AG,PNK,large,249122570240.0,Industrials,Specialty Industrial Machinery
SHEL,Shell PLC,NYQ,large,244581580800.0,Energy,Oil & Gas Integrated
SMAWF,Siemens AG,PNK,large,244077871104.0,Industrials,Specialty Industrial Machinery
RYDAF,SHELL PLC,PNK,large,239551774720.0,Energy,Oil & Gas Integrated
MBFJF,"Mitsubishi UFJ Financial Group,",PNK,large,239520776192.0,Financial Services,Banks - Diversified
SAP,SAP  SE,NYQ,large,237950763008.0,Technology,Software - Application
LRLCY,L'Oreal Co.,PNK,large,237337935872.0,Consumer Defensive,Household & Personal Products
SAPGF,SAP SE,PNK,large,237085114368.0,Technology,Software - Application
LRLCF,L'Oreal Co.,PNK,large,235740741632.0,Consumer Defensive,Household & Personal Products
BHP,BHP Group Limited,NYQ,large,229672615936.0,Basic Materials,Other Industrial Metals & Mining
BACHF,"Bank of China, Ltd.",PNK,large,225548681216.0,Financial Services,Banks - Diversified
TOYOF,Toyota Motor Corp.,PNK,large,225335246848.0,Consumer Cyclical,Auto Manufacturers
TM,Toyota Motor Corporation,NYQ,large,225086554112.0,Consumer Cyclical,Auto Manufacturers
BHPLF,BHP Group Limited,PNK,large,220501966848.0,Basic Materials,Other Industrial Metals & Mining
BCDRF,Banco Santander S.A.,PNK,large,217993396224.0,Financial Services,Banks - Diversified
IDEXF,Industria de Diseno Textil Indi,PNK,large,215351574528.0,Consumer Cyclical,Apparel Retail
BACHY,"Bank of China, Ltd.",PNK,large,214980116480.0,Financial Services,Banks - Diversified
IRLCF,THE ISRAEL CORPORATION LTD,PNK,large,212040187904.0,Basic Materials,Specialty Chemicals
CMWAY,Commonwealth Bank of Australia,PNK,large,211389890560.0,Financial Services,Banks - Diversified
IDEXY,Industria de Diseno Textil Indi,PNK,large,210837209088.0,Consumer Cyclical,Apparel Retail
CBAUF,Commonwealth Bank of Australia,PNK,large,210018746368.0,Financial Services,Banks - Diversified
SAN,"Banco Santander, S.A. Sponsored",NYQ,large,209718788096.0,Financial Services,Banks - Diversified
NVO,Novo Nordisk A/S,NYQ,large,208924655616.0,Healthcare,Drug Manufacturers - General
NONOF,Novo-Nordisk A/S,PNK,large,208128933888.0,Healthcare,Drug Manufacturers - General
RTNTF,Rio Tinto Ltd.,PNK,large,208046440448.0,Basic Materials,Other Industrial Metals & Mining
SFTBF,Softbank Group Corp,PNK,large,201912860672.0,Communication Services,Telecom Services
SFTBY,Softbank Group Corp,PNK,large,200602107904.0,Communication Services,Telecom Services
TD,Toronto Dominion Bank (The),NYQ,large,200410300416.0,Financial Services,Banks - Diversified
HESAY,Hermes International SA,PNK,large,197706858496.0,Consumer Cyclical,Luxury Goods
HESAF,Hermes International SA,PNK,large,196952735744.0,Consumer Cyclical,Luxury Goods
SBGSY,Schneider Electric SE,PNK,large,196479238144.0,Industrials,Specialty Industrial Machinery
EADSY,Airbus SE,PNK,large,195147431936.0,Industrials,Aerospace & Defense
SBGSF,Schneider Electric SE,PNK,large,194517254144.0,Industrials,Specialty Industrial Machinery
EADSF,Airbus SE,PNK,large,193121239040.0,Industrials,Aerospace & Defense
ALIZF,Allianz SE,PNK,large,192916373504.0,Financial Services,Insurance - Diversified
TTE,TotalEnergies SE,NYQ,large,190442651648.0,Energy,Oil & Gas Integrated
ALIZY,Allianz SE,PNK,large,189946576896.0,Financial Services,Insurance - Diversified
ABLZF,ABB Ltd.,PNK,large,188166078464.0,Industrials,Electrical Equipment & Parts
ABBNY,ABB Ltd.,PNK,large,182889381888.0,Industrials,Electrical Equipment & Parts
UBS,UBS Group AG Registered,NYQ,large,176214802432.0,Financial Services,Banks - Diversified
DBSDF,DBS Group Holdings Ltd.,PNK,large,172630802432.0,Financial Services,Banks - Regional
RYCEF,Rolls Royce Holdings plc,PNK,large,172324110336.0,Industrials,Aerospace & Defense
SAFRY,Safran SA,PNK,large,170788372480.0,Industrials,Aerospace & Defense
DBSDY,DBS Group Holdings Ltd.,PNK,large,170526244864.0,Financial Services,Banks - Regional
RYCEY,Rolls Royce Holdings plc,PNK,large,170423173120.0,Industrials,Aerospace & Defense
SAFRF,Safran SA,PNK,large,169702604800.0,Industrials,Aerospace & Defense
SMFNF,SUMITOMO MITSUI FINANCIAL GROUP,PNK,large,167689912320.0,Financial Services,Banks - Diversified
BUDFF,Anheuser Busch Inbev SA NV,PNK,large,165974196224.0,Consumer Defensive,Beverages - Brewers
BUD,Anheuser-Busch Inbev SA Sponsor,NYQ,large,164959928320.0,Consumer Defensive,Beverages - Brewers
RIO,Rio Tinto Plc,NYQ,large,164479942656.0,Basic Materials,Other Industrial Metals & Mining
KXIAY,KIOXIA HLDGS CORP,PNK,large,163844407296.0,Technology,Semiconductors
SMFG,Sumitomo Mitsui Financial Group,NYQ,large,163534831616.0,Financial Services,Banks - Diversified
HTHIY,Hitachi Ltd.,PNK,large,161320108032.0,Industrials,Conglomerates
BBVXF,Banco Bilbao Vizcaya Argentaria,PNK,large,160361955328.0,Financial Services,Banks - Diversified
IBDSF,Iberdrola S.A.,OID,large,160288866304.0,Utilities,Utilities - Diversified
DTEGY,Deutsche Telekom AG,OQX,large,160169623552.0,Communication Services,Telecom Services
RTPPF,Rio Tinto plc,PNK,large,159827001344.0,Basic Materials,Other Industrial Metals & Mining
IBDRY,Iberdrola S.A.,OID,large,159554813952.0,Utilities,Utilities - Diversified
TOELY,Tokyo Electron Ltd.,PNK,large,159318884352.0,Technology,Semiconductor Equipment & Materials
CIHKY,"China Merchants Bank Co., Ltd.",PNK,large,156968321024.0,Financial Services,Banks - Regional
BBVA,Banco Bilbao Vizcaya Argentaria,NYQ,large,156443951104.0,Financial Services,Banks - Diversified
TOELF,Tokyo Electron Ltd.,PNK,large,155295219712.0,Technology,Semiconductor Equipment & Materials
ADTTF,Advantest Corp.,PNK,large,155260272640.0,Technology,Semiconductor Equipment & Materials
FRCOY,Fast Retailing Co. Ltd.,PNK,large,154744963072.0,Consumer Cyclical,Apparel Retail
